,id,name,year,rank_year,artists,primary_artist_id,artist_image,artist_genres,duration,explicit,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2826,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2017,27,"['ZAYN', 'Taylor Swift']",5ZsFI1h6hIdQRw2ti0hz81,https://i.scdn.co/image/ab6761610000e5eb9fbf7133dfc04d4cd44ccd36,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",245200,False,1,0.735,0.451,0,-8.374,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973
2827,72jbDTw1piOOj770jWNeaG,Paris,2017,28,['The Chainsmokers'],69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/ab6761610000e5eb7e223c8c0a40da75838373b9,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",221506,False,71,0.653,0.658,2,-6.428,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99
2828,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,2017,29,"['Martin Garrix', 'Dua Lipa']",60d24wfXkVzDSfLS6hyCjZ,https://i.scdn.co/image/ab6761610000e5eb66d17ee8690d2e8d94ee7387,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",220883,False,78,0.584,0.54,1,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972
2829,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),2017,30,"['Cheat Codes', 'Demi Lovato']",7DMveApC7UnC2NPfPvlHSU,https://i.scdn.co/image/ab6761610000e5eb8f7993863de5cedde4d8adf1,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'tropical house']",223503,False,70,0.741,0.667,10,-5.445,0.134,0.0575,0.0,0.106,0.595,112.956
2830,0NiXXAI876aGImAd6rTj8w,Mama,2017,31,"['Jonas Blue', 'William Singe']",1HBjj22wzbscIZ9sEb5dyf,https://i.scdn.co/image/ab6761610000e5eb95e36a9e588e1a42c00bc08a,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",181614,False,53,0.739,0.792,11,-4.256,0.0418,0.091,0.0,0.0516,0.547,104.016
2831,2RttW7RAu5nOAfq6YFvApB,Happier,2017,32,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,"['pop', 'uk pop']",207520,False,81,0.522,0.385,0,-7.355,0.0288,0.536,0.0,0.135,0.236,89.792
2832,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),2017,33,"['David Guetta', 'Justin Bieber']",1Cs0zKBU1kc0i8ypK3B9ai,https://i.scdn.co/image/ab6761610000e5eb75348e1aade2645ad9c58829,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",194896,False,68,0.548,0.65,8,-5.827,0.0591,0.219,0.0,0.225,0.557,144.937
2833,5vjLSffimiIP26QG5WcN2K,Hold On,2017,34,['Chord Overstreet'],5D3muNJhYYunbRkh3FKgX0,https://i.scdn.co/image/ab6761610000e5ebe7e15adca0c76d26ca2785b8,['acoustic pop'],198853,False,81,0.618,0.443,2,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949
2834,3m660poUr1chesgkkjQM7P,Sorry Not Sorry,2017,35,['Demi Lovato'],6S2OmqARrzebs0tKUEyXyp,https://i.scdn.co/image/ab6761610000e5eb99c4e0564b8d23a3d0645af1,"['dance pop', 'pop', 'post-teen pop']",203760,True,1,0.704,0.633,11,-6.923,0.241,0.0214,0.0,0.29,0.863,144.021
2835,10GJQkjRJcZhGTLagFOC62,Most Girls,2017,36,['Hailee Steinfeld'],5p7f24Rk5HkUZsaS3BLG5F,https://i.scdn.co/image/ab6761610000e5eb3b575926851ffbfc337e271b,"['dance pop', 'pop', 'post-teen pop']",204400,False,74,0.756,0.572,9,-7.019,0.0763,0.0478,0.0,0.0853,0.417,102.986
2836,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,2017,37,"['The Chainsmokers', 'Coldplay']",69GGBxA162lTqCwzJG5jLp,https://i.scdn.co/image/ab6761610000e5eb7e223c8c0a40da75838373b9,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",247160,False,83,0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
2837,74vs7PD7iG2GnWUGnb8Yuq,Middle Of The Night,2017,38,"['The Vamps', 'Martin Jensen']",7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208,"['boy band', 'dance pop', 'pop', 'post-teen pop']",174600,False,61,0.588,0.749,11,-4.323,0.058,0.0037,0.0,0.0813,0.397,130.093
2838,1pKeFVVUOPjFsOABub0OaV,Side To Side,2017,39,"['Ariana Grande', 'Nicki Minaj']",66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952,"['dance pop', 'pop']",226160,True,23,0.65,0.736,6,-5.84,0.229,0.0528,0.0,0.235,0.613,159.173
2839,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,2017,40,['Sam Smith'],2wY79sveU1sp5g7SokKOiI,https://i.scdn.co/image/ab6761610000e5ebe5a4f8ec6996364b2f824fcb,"['dance pop', 'pop', 'uk pop']",201000,False,81,0.681,0.372,5,-8.237,0.0432,0.64,0.0,0.169,0.476,91.873
2840,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,2017,41,['Khalid'],6LuN9FCkKOj5PcnpouEgny,https://i.scdn.co/image/ab6761610000e5eb012b37d6dec8872b18524f78,"['pop', 'pop r&b']",202546,False,80,0.799,0.539,1,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948
2841,0afhq8XCExXpqazXczTSve,Galway Girl,2017,42,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,"['pop', 'uk pop']",170826,False,79,0.624,0.876,9,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943
2842,48QmG1dfvMuYLxMPt7KSRA,No Lie,2017,43,"['Sean Paul', 'Dua Lipa']",3Isy6kedDrgPYoTS1dazA9,https://i.scdn.co/image/ab6761610000e5eb60c3e9abe7327c0097738f22,"['dance pop', 'dancehall', 'pop', 'pop rap']",221176,False,79,0.742,0.882,7,-2.862,0.117,0.0466,0.0,0.206,0.463,102.04
2843,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),2017,44,"['Kygo', 'Selena Gomez']",23fqKkggKUBHNkbKtXEls4,https://i.scdn.co/image/ab6761610000e5eb8d49608be7e98ff08be5e952,"['edm', 'pop', 'pop dance', 'tropical house']",220780,False,76,0.64,0.533,0,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968
2844,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,2017,45,['Zara Larsson'],1Xylc3o4UrD53lo9CvFvVg,https://i.scdn.co/image/ab6761610000e5eba63a2b0ceb57eb509d67c90f,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",224030,False,69,0.576,0.782,6,-4.825,0.0296,0.00778,0.0,0.285,0.355,141.153
2845,0zbzrhfVS9S2TszW3wLQZ7,September Song,2017,46,['JP Cooper'],4kYGAK2zu9EAomwj3hXkXy,https://i.scdn.co/image/ab6761610000e5eb28dd5fb1d08130ecfaaee780,"['neo mellow', 'pop', 'pop rock', 'tropical house', 'uk pop']",220290,False,73,0.614,0.615,0,-6.7,0.0444,0.054,0.0,0.0921,0.374,95.941
2846,0tgVpDi06FyKpA1z0VMD4v,Perfect,2017,47,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,"['pop', 'uk pop']",263400,False,87,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
2847,6D0b04NJIKfEMg040WioJQ,Issues,2017,48,['Julia Michaels'],0ZED1XzwlLHW4ZaG4lOT6m,https://i.scdn.co/image/ab6761610000e5eb9c3cf97e7f1fb6555d5208b7,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",176320,False,0,0.706,0.427,8,-6.864,0.0879,0.413,0.0,0.0609,0.42,113.804
2848,6HUnnBwYZqcED1eQztxMBN,Solo Dance,2017,49,['Martin Jensen'],4ehtJnVumNf6xzSCDk8aLB,https://i.scdn.co/image/ab6761610000e5eb48c528354d579d31d5cd7544,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",174933,False,0,0.744,0.836,6,-2.396,0.0507,0.0435,0.0,0.194,0.36,114.965
2849,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,2017,50,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5eb26dbdbdacda5c30dc95e0c2c,['pop'],211853,False,77,0.766,0.709,9,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07
2850,04sN26COy28wTXYj3dMoiZ,Bored,2017,51,['Billie Eilish'],6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf,"['electropop', 'pop']",180933,False,86,0.614,0.318,7,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959
2851,6TXglvsCOo7dQrEgRiIdO0,Bad Things (with Camila Cabello),2017,52,"['Machine Gun Kelly', 'Camila Cabello']",6TIYQ3jFPwQSRmorSezPxX,https://i.scdn.co/image/ab6761610000e5ebb1c8fea61007378c11add97a,"['ohio hip hop', 'pop rap']",239293,False,0,0.678,0.696,2,-4.79,0.133,0.206,0.0,0.164,0.254,137.822
2852,4q8PHoRsPUB52LFylX8Ulz,More Than You Know,2017,53,['Axwell /\\ Ingrosso'],2XnBwblw31dfGnspMIwgWz,https://i.scdn.co/image/ab6761610000e5eb9f6e5d736809c4cb40d59a7e,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",203000,False,1,0.645,0.741,5,-4.989,0.0339,0.0323,0.0,0.29,0.534,123.07
2853,3hBBKuWJfxlIlnd9QFoC8k,What Lovers Do (feat. SZA),2017,54,"['Maroon 5', 'SZA']",04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b,"['pop', 'pop rock']",199849,False,1,0.795,0.615,5,-5.211,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009
2854,6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,2017,55,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,"['pop', 'uk pop']",261153,False,78,0.461,0.834,2,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
2855,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",2017,56,['Alessia Cara'],2wUjUUtkb5lvLKcGKsKqsR,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",175517,False,0,0.314,0.555,9,-9.601,0.37,0.157,0.000108,0.067,0.159,179.666
2856,3YU6vJbjYUG0tiJyXf9x5V,Him & I,2017,57,"['G-Eazy', 'Halsey']",02kJSzxNuaWGqwubyUba0Z,https://i.scdn.co/image/ab6761610000e5ebe818f7ca0d47f038a9aa246a,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",268866,True,0,0.589,0.731,2,-6.343,0.0868,0.0534,0.0,0.308,0.191,87.908
2857,7nZmah2llfvLDiUjm0kiyz,Friends (with BloodPop®),2017,58,"['Justin Bieber', 'BloodPop®']",1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,"['canadian pop', 'pop']",189466,False,0,0.744,0.739,8,-5.35,0.0387,0.00459,0.0,0.306,0.649,104.99
2858,7FPOTINXrud2gCZVAsMTZc,Touch,2017,59,"['Little Mix', 'Kid Ink']",3e7awlrlDSwF3iM0WBjGMp,https://i.scdn.co/image/ab6761610000e5eb4b701ad64507f94953ded815,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",202960,False,0,0.635,0.73,1,-3.942,0.0965,0.04,0.0,0.423,0.541,101.859
2859,6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),2017,60,"['Avicii', 'Sandro Cavazza']",1vCWHaC5f2uS3yhpwWbIA6,https://i.scdn.co/image/ab6761610000e5eb09bf4814c6585e1f69dfeef7,"['dance pop', 'edm', 'pop', 'pop dance']",181672,True,77,0.662,0.858,2,-4.844,0.0428,0.00163,0.0,0.0456,0.295,133.993
